label_number,cost,epsilon,gamma,pearson,spearman
CD8.T.cells,512,0.05,1e-5,0.9904012890265311,0.8740708463778635
CD8.T.cells,768,0.05,1e-5,0.9904012890265311,0.8740708463778635
CD8.T.cells,256,5e-5,1e-5,0.9906080950417017,0.8696695417253834
CD8.T.cells,384,5e-5,1e-5,0.9886517520060933,0.8661823904689621
CD8.T.cells,512,5e-5,1e-5,0.9874100136091428,0.8639308913830603
CD8.T.cells,768,5e-5,1e-5,0.9848009787164659,0.8595272758195849
CD8.T.cells,256,5e-4,1e-5,0.9906429107275857,0.869657449749245
CD8.T.cells,384,5e-4,1e-5,0.9889708732693965,0.8666829042323864
CD8.T.cells,512,5e-4,1e-5,0.9879668379006827,0.8651584956716832
CD8.T.cells,768,5e-4,1e-5,0.985722165417159,0.8612199106394305
CD8.T.cells,256,5e-6,1e-5,0.9906178364543788,0.8697670971017616
CD8.T.cells,384,5e-6,1e-5,0.9885372587826498,0.8659646945918847
CD8.T.cells,512,5e-6,1e-5,0.9873128112688999,0.8639472961640213
CD8.T.cells,768,5e-6,1e-5,0.9850002276452675,0.8598136944277152
CD8.T.cells,256,0.005,1e-4,0.993266336309496,0.8735063794961964
CD8.T.cells,384,0.005,1e-4,0.993266336309496,0.8735063794961964
CD8.T.cells,512,0.005,1e-4,0.993266336309496,0.8735063794961964
CD8.T.cells,768,0.005,1e-4,0.993266336309496,0.8735063794961964
CD8.T.cells,256,0.05,1e-4,0.9911431740057962,0.8740502497118411
CD8.T.cells,384,0.05,1e-4,0.9911431740057962,0.8740502497118411
CD8.T.cells,512,0.05,1e-4,0.9911431740057962,0.8740502497118411
CD8.T.cells,768,0.05,1e-4,0.9911431740057962,0.8740502497118411
CD8.T.cells,256,5e-5,1e-4,0.9806321771045315,0.8524141171140872
CD8.T.cells,384,5e-5,1e-4,0.9787549039622597,0.8498122597373414
CD8.T.cells,512,5e-5,1e-4,0.977785455797299,0.8483409886940019
CD8.T.cells,768,5e-5,1e-4,0.977122054755454,0.8475733228710944
CD8.T.cells,256,5e-4,1e-4,0.9822882158271286,0.8548097659910872
CD8.T.cells,384,5e-4,1e-4,0.9816778921816226,0.8541754746649857
CD8.T.cells,512,5e-4,1e-4,0.9810334074255787,0.8534969401417469
CD8.T.cells,768,5e-4,1e-4,0.9805133693692655,0.8531381846452513
CD8.T.cells,256,5e-6,1e-4,0.9805698918902532,0.8521486848023214
CD8.T.cells,384,5e-6,1e-4,0.9789827692284004,0.8500799357824572
CD8.T.cells,512,5e-6,1e-4,0.9776749501320326,0.8482026967935662
CD8.T.cells,768,5e-6,1e-4,0.9770260212247099,0.8474424608182195
CD8.T.cells,256,0.005,0.001,0.9941229891446551,0.8753268533748824
CD8.T.cells,384,0.005,0.001,0.9941229891446551,0.8753268533748824
CD8.T.cells,512,0.005,0.001,0.9941229891446551,0.8753268533748824
CD8.T.cells,768,0.005,0.001,0.9941229891446551,0.8753268533748824
CD8.T.cells,256,0.05,0.001,0.9900451281041978,0.8682575482361796
